1,3,22,24,30
2,1,21,24,30
3,2,21,25,35
4,3,21,25,35
5,4,20,24,32
6,1,20,24,34
8,3,19,23,33
9,4,21,25,33
10,1,21,23,35
11,1,19,23,31
12,2,19,22,30
13,4,21,24,30
14,4,20,23,31
15,2,20,4,32
18,4,21,23,32
19,2,25,30,39
21,4,21,25,35
22,4,21,23,30
23,1,20,22,27
24,2,20,23,27
25,3,20,24,34
26,2,21,24,33
28,4,21,24,34
29,4,21,23,23
33,4,20,23,34
36,4,23,28,36
38,1,19,23,30
39,2,19,22,31
41,4,21,23,30
43,2,19,22,28
44,3,19,22,29
46,4,18,28,44
47,2,32,37,43
48,4,21,25,35
50,4,21,24,32
52,2,18,22,25
53,4,26,29,39
54,2,19,23,35
55,2,17,23,33
56,3,20,27,35
57,3,21,25,34
58,4,20,24,37
59,1,20,23,31
59,1,21,24,36
60,3,20,23,31
61,3,25,35,40
62,4,21,24,30
